keys,en,ru,kk,de
char_name_stella_nova,Stella Nova,Стелла Нова,Стелла Нова,Stella Nova
flavor_text_stella,"A common card, it was just lying around in the room. Why did you think of it now?","Обычная карточка, лежала где-то в комнате. Почему ты вспомнил о ней сейчас?","Қарапайым карта, бөлмеде жатқан еді. Неге ол туралы қазір естетін?","Eine gewöhnliche Karte, sie lag einfach im Raum herum. Warum denkst du jetzt an sie?"
second_name_viktoria,Von Lux,Фон Люкс,Фон Люкс,Von Lux
flavor_text_viktoria,"A common card. Do you seriously think it was worth 500 gold?","Обычная карточка. Ты серьёзно думаешь, что она стоила 500 золотых?","Қарапайым карта. Оның 500 алтын тұратынына шынымен сенемсің?","Eine gewöhnliche Karte. Glaubst du ernsthaft, sie war 500 Gold wert?"
3_name,Tina Tap,Тина Тап,Тина Тап,Tina Tap
flavor_text_3,This girl was a master of clicker mechanics.,Эта девочка была мастером кликерной механики.,Бұл қыз кликерлік механиканың шебері болды.,Dieses Mädchen war eine Meisterin der Klicker-Mechanik.
epic_card_1_name,Becky,Бекки,Бекки,Becky
epic_card_1_flavor,"Remember the shop assistant from your childhood? This card looks a lot like her.","Помнишь продавщицу из магазина в детстве? Карточка очень похожа на нее.","Балалық шағыңдағы дүкендегі сатушыны есіңде ме? Бұл карта оған өте ұқсас.","Erinnerst du dich an die Verkäuferin aus deiner Kindheit? Diese Karte sieht ihr sehr ähnlich."
epic_card_1_boost,"Click 2x, Energy Recovery 2x, Luck 1.5x","Клик 2x, Восстановление энергии 2x, Удача 1.5x","Клик 2x, Энергияны қалпына келтіру 2x, Сәт 1.5x","Klick 2x, Energiewiederherstellung 2x, Glück 1.5x"
epic_card_2_name,Biba and Boba,Биба и Боба,Биба және Боба,Biba und Boba
epic_card_2_flavor,"We always laughed at her, and now she's your card...","Всегда смеялись над ней, а теперь это твоя карточка...","Біз әрқашан оған күлдік, ал енді бұл сенің картаң...","Wir haben immer über sie gelacht, und jetzt ist sie deine Karte..."
epic_card_2_boost,"Minigame Income 3x","Доход в мини-играх 3x","Мини-ойындардан табыс 3x","Minispiel-Einkommen 3x"
epic_card_3_name,Festival Ambassador,Амбассадор Праздника,Мереке Елшісі,Botschafterin des Festes
epic_card_3_flavor,"It was evening, a holiday, New Year's... and then what? You, the card, and the void.","Был вечер, праздник, Новый Год... а дальше что? Ты, карта и пространство.","Кеш болатын, мереке, Жаңа жыл... ал сосын не? Сен, карта және бос орын.","Es war Abend, ein Feiertag, Neujahr... und dann was? Du, die Karte und die Leere."
epic_card_3_boost,"Passive Income 3x, Click 3x","Пассивный доход 3x, Клик 3x","Пассивті табыс 3x, Клик 3x","Passives Einkommen 3x, Klick 3x"
epic_card_4_name,a passerby,Прохожая,Кездескен адам,Ein Passant
epic_card_4_flavor,"Sometimes strangers remain in memory","Иногда случайные люди остаются в памяти","Кейде бейтаныс адамдар есте қалады","Manchmal bleiben Fremde in Erinnerung"
epic_card_4_boost,"Passive Income 3x, Click 3x","Пассивный доход 3x, Клик 3x","Пассивті табыс 3x, Клик 3x","Passives Einkommen 3x, Klick 3x"
legend_card_1_name,Fire and Ash,Огонь и Пепел,От және Күл,Feuer und Asche
legend_card_1_flavor,"You woke up, looked around, saw her... and fell asleep again.","Ты очнулся, посмотрел, огляделся, увидел ее... опять уснул.","Сен ояндың, айналаңды қарадың, оны көрдің... және тағы ұйықтадың.","Du bist aufgewacht, hast dich umgesehen, sie gesehen... und bist wieder eingeschlafen."
legend_card_1_boost,"Click 10x","Клик 10x","Клик 10x","Klick 10x"
